TEAMNAME,NAME,DEBUTDATE 
Australia,GS Chappell,Australia v England at Melbourne, 1970/71
Australia,IM Chappell,Australia v England at Melbourne, 1970/71
Australia,AN Connolly,Australia v England at Melbourne, 1970/71
Australia,WM Lawry,Australia v England at Melbourne, 1970/71
Australia,GD McKenzie,Australia v England at Melbourne, 1970/71
Australia,AA Mallett,Australia v England at Melbourne, 1970/71
Australia,RW Marsh,Australia v England at Melbourne, 1970/71
Australia,IR Redpath,Australia v England at Melbourne, 1970/71
Australia,KR Stackpole,Australia v England at Melbourne, 1970/71
Australia,AL Thomson,Australia v England at Melbourne, 1970/71
Australia,KD Walters,Australia v England at Melbourne, 1970/71
Australia,R Edwards,England v Australia at Manchester, 1972
Australia,DK Lillee,England v Australia at Manchester, 1972
Australia,RAL Massie,England v Australia at Manchester, 1972
Australia,AP Sheahan,England v Australia at Manchester, 1972
Australia,GD Watson,England v Australia at Manchester, 1972
Australia,DJ Colley,England v Australia at Lord's, 1972
Australia,JR Hammond,England v Australia at Birmingham, 1972
Australia,RJ Bright,New Zealand v Australia at Dunedin, 1973/74
Australia,IC Davis,New Zealand v Australia at Dunedin, 1973/74
Australia,G Dymock,New Zealand v Australia at Dunedin, 1973/74
Australia,GJ Gilmour,New Zealand v Australia at Dunedin, 1973/74
Australia,MHN Walker,New Zealand v Australia at Dunedin, 1973/74
Australia,AJ Woodcock,New Zealand v Australia at Christchurch, 1973/74
Australia,WJ Edwards,Australia v England at Melbourne, 1974/75
Australia,AG Hurst,Australia v England at Melbourne, 1974/75
Australia,TJ Jenner,Australia v England at Melbourne, 1974/75
Australia,JR Thomson,Australia v England at Melbourne, 1974/75
Australia,RB McCosker,Australia v Pakistan at Leeds, 1975
Australia,A Turner,Australia v Pakistan at Leeds, 1975
Australia,GJ Cosier,Australia v West Indies at Adelaide, 1975/76
Australia,DW Hookes,England v Australia at Manchester, 1977
Australia,MF Malone,England v Australia at Manchester, 1977
Australia,KJ O'Keeffe,England v Australia at Manchester, 1977
Australia,LS Pascoe,England v Australia at Manchester, 1977
Australia,CS Serjeant,England v Australia at Manchester, 1977
Australia,KJ Hughes,England v Australia at Birmingham, 1977
Australia,RD Robinson,England v Australia at Birmingham, 1977
Australia,IW Callen,West Indies v Australia at St John's, 1977/78
Australia,WM Clark,West Indies v Australia at St John's, 1977/78
Australia,WM Darling,West Indies v Australia at St John's, 1977/78
Australia,TJ Laughlin,West Indies v Australia at St John's, 1977/78
Australia,SJ Rixon,West Indies v Australia at St John's, 1977/78
Australia,RB Simpson,West Indies v Australia at St John's, 1977/78
Australia,PM Toohey,West Indies v Australia at St John's, 1977/78
Australia,GM Wood,West Indies v Australia at St John's, 1977/78
Australia,GN Yallop,West Indies v Australia at St John's, 1977/78
Australia,B Yardley,West Indies v Australia at Castries, 1977/78
Australia,AR Border,Australia v England at Sydney, 1978/79
Australia,PH Carlson,Australia v England at Sydney, 1978/79
Australia,JA Maclean,Australia v England at Sydney, 1978/79
Australia,AMJ Hilditch,Australia v England at Melbourne, 1978/79
Australia,RM Hogg,Australia v England at Melbourne, 1978/79
Australia,KJ Wright,Australia v England at Melbourne, 1978/79
Australia,JK Moss,Australia v Pakistan at Nottingham, 1979
Australia,GD Porter,Australia v Pakistan at Nottingham, 1979
Australia,BM Laird,Australia v West Indies at Sydney, 1979/80
Australia,JM Wiener,Australia v England at Melbourne, 1979/80
Australia,DF Whatmore,Australia v West Indies at Sydney, 1979/80
Australia,J Dyson,England v Australia at Birmingham, 1980
Australia,TM Chappell,Australia v New Zealand at Adelaide, 1980/81
Australia,SF Graf,Australia v New Zealand at Adelaide, 1980/81
Australia,GF Lawson,Australia v New Zealand at Adelaide, 1980/81
Australia,MF Kent,Australia v New Zealand at Sydney, 1980/81
Australia,GR Beard,Australia v New Zealand at Melbourne, 1980/81
Australia,TM Alderman,England v Australia at Birmingham, 1981
Australia,DM Wellham,Australia v Pakistan at Sydney, 1981/82
Australia,GM Ritchie,Pakistan v Australia at Lahore, 1982/83
Australia,WB Phillips,Pakistan v Australia at Karachi, 1982/83
Australia,CG Rackemann,Australia v New Zealand at Melbourne, 1982/83
Australia,KC Wessels,Australia v New Zealand at Melbourne, 1982/83
Australia,JN Maguire,Australia v England at Melbourne, 1982/83
Australia,TG Hogan,Australia v New Zealand at Adelaide, 1982/83
Australia,KH MacLeay,Australia v New Zealand at Adelaide, 1982/83
Australia,SB Smith,Australia v New Zealand at Perth, 1982/83
Australia,MR Whitney,Australia v New Zealand at Sydney, 1982/83
Australia,RD Woolley,Sri Lanka v Australia at Colombo (PSS), 1982/83
Australia,GRJ Matthews,Australia v West Indies at Melbourne, 1983/84
Australia,DM Jones,Australia v Pakistan at Adelaide, 1983/84
Australia,DC Boon,Australia v West Indies at Melbourne, 1983/84
Australia,MJ Bennett,India v Australia at Indore, 1984/85
Australia,CJ McDermott,Australia v West Indies at Melbourne, 1984/85
Australia,SP O'Donnell,Australia v West Indies at Melbourne, 1984/85
Australia,RG Holland,Australia v West Indies at Sydney, 1984/85
Australia,RJ McCurdy,Australia v West Indies at Adelaide, 1984/85
Australia,RB Kerr,Australia v West Indies at Sydney, 1984/85
Australia,SP Davis,Australia v New Zealand at Melbourne, 1985/86
Australia,DR Gilbert,Australia v New Zealand at Melbourne, 1985/86
Australia,BA Reid,Australia v New Zealand at Melbourne, 1985/86
Australia,SR Waugh,Australia v New Zealand at Melbourne, 1985/86
Australia,GR Marsh,Australia v New Zealand at Sydney, 1985/86
Australia,GS Trimble,Australia v New Zealand at Perth, 1985/86
Australia,TJ Zoehrer,Australia v India at Sydney, 1985/86
Australia,GC Dyer,India v Australia at Hyderabad (Deccan), 1986/87
Australia,GA Bishop,Australia v Pakistan at Perth, 1986/87
Australia,PL Taylor,Australia v England at Brisbane, 1986/87
Australia,MRJ Veletta,Australia v Pakistan at Sharjah, 1986/87
Australia,TM Moody,India v Australia at Chennai, 1987/88
Australia,TBA May,Australia v Zimbabwe at Chennai, 1987/88
Australia,AK Zesers,India v Australia at Delhi, 1987/88
Australia,AIC Dodemaide,Australia v Sri Lanka at Perth, 1987/88
Australia,IA Healy,Pakistan v Australia at Lahore, 1988/89
Australia,JD Siddons,Pakistan v Australia at Lahore, 1988/89
Australia,MG Hughes,Australia v Pakistan at Adelaide, 1988/89
Australia,ME Waugh,Australia v Pakistan at Adelaide, 1988/89
Australia,GD Campbell,Australia v Sri Lanka at Melbourne, 1989/90
Australia,MA Taylor,Australia v Sri Lanka at Melbourne, 1989/90
Australia,PR Reiffel,Australia v India at Sydney, 1991/92
Australia,DR Martyn,Australia v West Indies at Sydney, 1992/93
Australia,SK Warne,New Zealand v Australia at Wellington, 1992/93
Australia,ML Hayden,England v Australia at Manchester, 1993
Australia,BP Julian,England v Australia at Lord's, 1993
Australia,GD McGrath,Australia v South Africa at Melbourne, 1993/94
Australia,MJ Slater,Australia v South Africa at Melbourne, 1993/94
Australia,DW Fleming,Australia v South Africa at Perth, 1993/94
Australia,MG Bevan,Australia v Sri Lanka at Sharjah, 1993/94
Australia,JL Langer,Australia v Sri Lanka at Sharjah, 1993/94
Australia,J Angel,Sri Lanka v Australia at Colombo (PSS), 1994
Australia,GR Robertson,Sri Lanka v Australia at Colombo (PSS), 1994
Australia,PA Emery,Pakistan v Australia at Lahore, 1994/95
Australia,SG Law,Australia v Zimbabwe at Perth, 1994/95
Australia,GS Blewett,Australia v South Africa at Wellington, 1994/95
Australia,RT Ponting,Australia v South Africa at Wellington, 1994/95
Australia,S Lee,Australia v West Indies at Adelaide, 1995/96
Australia,MS Kasprowicz,Australia v West Indies at Melbourne, 1995/96
Australia,GB Hogg,Australia v Zimbabwe at Colombo (RPS), 1996
Australia,JN Gillespie,Sri Lanka v Australia at Colombo (RPS), 1996
Australia,DS Lehmann,Sri Lanka v Australia at Colombo (RPS), 1996
Australia,AC Gilchrist,Australia v South Africa at Faridabad, 1996/97
Australia,AJ Bichel,Australia v West Indies at Brisbane, 1996/97
Australia,AM Stuart,Australia v West Indies at Brisbane, 1996/97
Australia,AC Dale,South Africa v Australia at East London, 1996/97
Australia,MJ Di Venuto,South Africa v Australia at East London, 1996/97
Australia,MTG Elliott,England v Australia at Lord's, 1997
Australia,IJ Harvey,Australia v South Africa at Sydney, 1997/98
Australia,P Wilson,Australia v New Zealand at Melbourne, 1997/98
Australia,JP Maher,Australia v New Zealand at Sydney, 1997/98
Australia,BE Young,Australia v South Africa at Perth, 1997/98
Australia,A Symonds,Pakistan v Australia at Lahore, 1998/99
Australia,B Lee,Australia v Pakistan at Brisbane, 1999/00
Australia,SCG MacGill,Australia v Pakistan at Sydney, 1999/00
Australia,NW Bracken,Australia v West Indies at Melbourne, 2000/01
Australia,SM Katich,Australia v Zimbabwe at Melbourne, 2000/01
Australia,BJ Haddin,Australia v Zimbabwe at Hobart, 2000/01
Australia,BA Williams,Australia v New Zealand at Melbourne, 2001/02
Australia,RJ Campbell,Australia v New Zealand at Sydney, 2001/02
Australia,NM Hauritz,South Africa v Australia at Johannesburg, 2001/02
Australia,SR Watson,South Africa v Australia at Centurion, 2001/02
Australia,MJ Clarke,Australia v England at Adelaide, 2002/03
Australia,MEK Hussey,Australia v India at Perth, 2003/04
Australia,JR Hopes,New Zealand v Australia at Wellington, 2004/05
Australia,CL White,Australia v ICC World XI at Melbourne (Docklands), 2005/06
Australia,SR Clark,Australia v ICC World XI at Melbourne (Docklands), 2005/06
Australia,BJ Hodge,New Zealand v Australia at Auckland, 2005/06
Australia,ML Lewis,New Zealand v Australia at Wellington, 2005/06
Australia,MG Johnson,New Zealand v Australia at Christchurch, 2005/06
Australia,BR Dorey,Australia v South Africa at Melbourne (Docklands), 2005/06
Australia,PA Jaques,Australia v South Africa at Melbourne (Docklands), 2005/06
Australia,DJ Cullen,Bangladesh v Australia at Chattogram, 2005/06
Australia,MJ Cosgrove,Bangladesh v Australia at Fatullah, 2005/06
Australia,BW Hilfenhaus,Australia v New Zealand at Hobart, 2006/07
Australia,SW Tait,Australia v England at Sydney, 2006/07
Australia,AC Voges,New Zealand v Australia at Hamilton, 2006/07
