TEAMNAME,NAME,DEBUTDATE 
England,G Boycott,Australia v England at Melbourne, 1970/71
England,MC Cowdrey,Australia v England at Melbourne, 1970/71
England,BL D'Oliveira,Australia v England at Melbourne, 1970/71
England,JH Edrich,Australia v England at Melbourne, 1970/71
England,KWR Fletcher,Australia v England at Melbourne, 1970/71
England,JH Hampshire,Australia v England at Melbourne, 1970/71
England,R Illingworth,Australia v England at Melbourne, 1970/71
England,APE Knott,Australia v England at Melbourne, 1970/71
England,P Lever,Australia v England at Melbourne, 1970/71
England,K Shuttleworth,Australia v England at Melbourne, 1970/71
England,JA Snow,Australia v England at Melbourne, 1970/71
England,DL Amiss,England v Australia at Manchester, 1972
England,GG Arnold,England v Australia at Manchester, 1972
England,DB Close,England v Australia at Manchester, 1972
England,AW Greig,England v Australia at Manchester, 1972
England,RA Woolmer,England v Australia at Manchester, 1972
England,B Wood,England v Australia at Birmingham, 1972
England,FC Hayes,England v New Zealand at Swansea, 1973
England,GRJ Roope,England v New Zealand at Swansea, 1973
England,DL Underwood,England v New Zealand at Swansea, 1973
England,MH Denness,England v West Indies at Leeds, 1973
England,M Hendrick,England v West Indies at Leeds, 1973
England,CM Old,England v West Indies at Leeds, 1973
England,MJ Smith,England v West Indies at Leeds, 1973
England,RW Taylor,England v West Indies at Leeds, 1973
England,RGD Willis,England v West Indies at Leeds, 1973
England,JA Jameson,England v West Indies at The Oval, 1973
England,D Lloyd,England v West Indies at The Oval, 1973
England,RD Jackman,England v India at Leeds, 1974
England,BW Luckhurst,Australia v England at Melbourne, 1974/75
England,FJ Titmus,New Zealand v England at Dunedin, 1974/75
England,GD Barlow,England v West Indies at Scarborough, 1976
England,IT Botham,England v West Indies at Scarborough, 1976
England,GA Gooch,England v West Indies at Scarborough, 1976
England,JK Lever,England v West Indies at Scarborough, 1976
England,DS Steele,England v West Indies at Scarborough, 1976
England,DW Randall,England v West Indies at Lord's, 1976
England,JM Brearley,England v Australia at Manchester, 1977
England,P Willey,England v Australia at Manchester, 1977
England,G Miller,England v Australia at The Oval, 1977
England,PR Downton,Pakistan v England at Sahiwal, 1977/78
England,PH Edmonds,Pakistan v England at Sahiwal, 1977/78
England,MW Gatting,Pakistan v England at Sahiwal, 1977/78
England,BC Rose,Pakistan v England at Sahiwal, 1977/78
England,GA Cope,Pakistan v England at Sialkot, 1977/78
England,DI Gower,England v Pakistan at Manchester, 1978
England,CT Radley,England v Pakistan at Manchester, 1978
England,RW Tolchard,Australia v England at Sydney, 1978/79
England,DL Bairstow,Australia v England at Melbourne, 1978/79
England,W Larkins,England v New Zealand at Manchester, 1979
England,GR Dilley,England v West Indies at Sydney, 1979/80
England,JE Emburey,Australia v England at Sydney, 1979/80
England,GB Stevenson,Australia v England at Sydney, 1979/80
England,CJ Tavare,England v West Indies at Leeds, 1980
England,VJ Marks,England v West Indies at Lord's, 1980
England,CWJ Athey,England v Australia at The Oval, 1980
England,AR Butcher,England v Australia at The Oval, 1980
England,RO Butcher,England v Australia at Birmingham, 1980
England,GW Humpage,England v Australia at Lord's, 1981
England,JD Love,England v Australia at Lord's, 1981
England,G Cook,India v England at Ahmedabad, 1981/82
England,CJ Richards,India v England at Ahmedabad, 1981/82
England,PJW Allott,Sri Lanka v England at Colombo (SSC), 1981/82
England,AJ Lamb,England v India at Leeds, 1982
England,EE Hemmings,England v Pakistan at Nottingham, 1982
England,DR Pringle,England v Pakistan at Nottingham, 1982
England,NG Cowans,Australia v England at Sydney, 1982/83
England,TE Jesty,Australia v England at Sydney, 1982/83
England,IJ Gould,England v New Zealand at Brisbane, 1982/83
England,G Fowler,England v New Zealand at Sydney, 1982/83
England,NA Foster,New Zealand v England at Christchurch, 1983/84
England,CL Smith,New Zealand v England at Christchurch, 1983/84
England,NGB Cook,Pakistan v England at Karachi, 1983/84
England,TA Lloyd,England v West Indies at Manchester, 1984
England,RM Ellison,India v England at Pune, 1984/85
England,RT Robinson,India v England at Pune, 1984/85
England,JP Agnew,India v England at Nagpur, 1984/85
England,CS Cowdrey,India v England at Nagpur, 1984/85
England,MD Moxon,India v England at Nagpur, 1984/85
England,BN French,India v England at Chandigarh, 1984/85
England,N Gifford,Australia v England at Sharjah, 1984/85
England,CM Wells,Australia v England at Sharjah, 1984/85
England,RJ Bailey,England v Pakistan at Sharjah, 1984/85
England,PI Pocock,England v Pakistan at Sharjah, 1984/85
England,LB Taylor,West Indies v England at Kingston, 1985/86
England,JG Thomas,West Indies v England at Kingston, 1985/86
England,WN Slack,West Indies v England at Port of Spain, 1985/86
England,DM Smith,West Indies v England at Port of Spain, 1985/86
England,MR Benson,England v New Zealand at Leeds, 1986
England,BC Broad,Australia v England at Perth, 1986/87
England,PAJ DeFreitas,Australia v England at Perth, 1986/87
