TEAMNAME,NAME,DEBUTDATE 
India,S Abid Ali,England v India at Leeds, 1974
India,BS Bedi,England v India at Leeds, 1974
India,FM Engineer,England v India at Leeds, 1974
India,SM Gavaskar,England v India at Leeds, 1974
India,S Madan Lal,England v India at Leeds, 1974
India,SS Naik,England v India at Leeds, 1974
India,BP Patel,England v India at Leeds, 1974
India,ED Solkar,England v India at Leeds, 1974
India,S Venkataraghavan,England v India at Leeds, 1974
India,GR Viswanath,England v India at Leeds, 1974
India,AL Wadekar,England v India at Leeds, 1974
India,GK Bose,England v India at The Oval, 1974
India,AV Mankad,England v India at The Oval, 1974
India,M Amarnath,England v India at Lord's, 1975
India,AD Gaekwad,England v India at Lord's, 1975
India,KD Ghavri,England v India at Lord's, 1975
India,SMH Kirmani,New Zealand v India at Christchurch, 1975/76
India,PH Sharma,New Zealand v India at Christchurch, 1975/76
India,DB Vengsarkar,New Zealand v India at Christchurch, 1975/76
India,BS Chandrasekhar,New Zealand v India at Auckland, 1975/76
India,P Krishnamurthy,New Zealand v India at Auckland, 1975/76
India,R Sudhakar Rao,New Zealand v India at Auckland, 1975/76
India,S Amarnath,Pakistan v India at Quetta, 1978/79
India,CPS Chauhan,Pakistan v India at Quetta, 1978/79
India,N Kapil Dev,Pakistan v India at Quetta, 1978/79
India,Yashpal Sharma,Pakistan v India at Sialkot, 1978/79
India,B Reddy,Pakistan v India at Sahiwal, 1978/79
India,SC Khanna,India v West Indies at Birmingham, 1979
India,KBJ Azad,Australia v India at Melbourne, 1980/81
India,RMH Binny,Australia v India at Melbourne, 1980/81
India,DR Doshi,Australia v India at Melbourne, 1980/81
India,SM Patil,Australia v India at Melbourne, 1980/81
India,TE Srinivasan,Australia v India at Melbourne, 1980/81
India,B Yograj Singh,India v New Zealand at Brisbane, 1980/81
India,Randhir Singh,India v England at Ahmedabad, 1981/82
India,RJ Shastri,India v England at Ahmedabad, 1981/82
India,K Srikkanth,India v England at Ahmedabad, 1981/82
India,SV Nayak,India v England at Jalandhar, 1981/82
India,J Arun Lal,India v England at Cuttack, 1981/82
India,AO Malhotra,India v England at Cuttack, 1981/82
India,GAHM Parkar,England v India at Leeds, 1982
India,BS Sandhu,Pakistan v India at Gujranwala, 1982/83
India,Maninder Singh,Pakistan v India at Karachi, 1982/83
India,TAP Sekhar,Pakistan v India at Karachi, 1982/83
India,C Sharma,India v West Indies at Jamshedpur, 1983/84
India,RR Kulkarni,India v West Indies at Guwahati, 1983/84
India,M Prabhakar,India v Sri Lanka at Sharjah, 1983/84
India,AK Patel,India v Australia at New Delhi, 1984/85
India,RS Ghai,India v England at Pune, 1984/85
India,KS More,India v England at Pune, 1984/85
India,M Azharuddin,India v England at Bengaluru, 1984/85
