TEAMNAME,NAME,DEBUTDATE 
New Zealand,MG Burgess,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,RO Collinge,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,PG Coman,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,BE Congdon,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,DR Hadlee,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,Sir RJ Hadlee,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,BF Hastings,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,HJ Howarth,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,GM Turner,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,GE Vivian,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,KJ Wadsworth,New Zealand v Pakistan at Christchurch, 1972/73
New Zealand,V Pollard,England v New Zealand at Swansea, 1973
New Zealand,RE Redmond,England v New Zealand at Swansea, 1973
New Zealand,BR Taylor,England v New Zealand at Swansea, 1973
New Zealand,BL Cairns,New Zealand v Australia at Dunedin, 1973/74
New Zealand,DR O'Sullivan,New Zealand v Australia at Dunedin, 1973/74
New Zealand,JM Parker,New Zealand v Australia at Christchurch, 1973/74
New Zealand,BG Hadlee,New Zealand v England at Dunedin, 1974/75
New Zealand,GP Howarth,New Zealand v England at Dunedin, 1974/75
New Zealand,JFM Morrison,New Zealand v England at Wellington, 1974/75
New Zealand,BJ McKechnie,East Africa v New Zealand at Birmingham, 1975
New Zealand,GN Edwards,New Zealand v India at Christchurch, 1975/76
New Zealand,RW Anderson,Pakistan v New Zealand at Sialkot, 1976/77
New Zealand,NM Parker,Pakistan v New Zealand at Sialkot, 1976/77
New Zealand,ADG Roberts,Pakistan v New Zealand at Sialkot, 1976/77
New Zealand,GB Troup,Pakistan v New Zealand at Sialkot, 1976/77
New Zealand,SL Boock,England v New Zealand at Scarborough, 1978
New Zealand,JG Wright,England v New Zealand at Scarborough, 1978
New Zealand,BP Bracewell,England v New Zealand at Manchester, 1978
New Zealand,BA Edgar,England v New Zealand at Manchester, 1978
New Zealand,JV Coney,New Zealand v Sri Lanka at Nottingham, 1979
New Zealand,WK Lees,New Zealand v Sri Lanka at Nottingham, 1979
New Zealand,LW Stott,New Zealand v Sri Lanka at Nottingham, 1979
New Zealand,EJ Chatfield,New Zealand v West Indies at Nottingham, 1979
New Zealand,PE McEwan,New Zealand v West Indies at Christchurch, 1979/80
New Zealand,JF Reid,New Zealand v West Indies at Christchurch, 1979/80
New Zealand,MC Snedden,Australia v New Zealand at Adelaide, 1980/81
New Zealand,IDS Smith,Australia v New Zealand at Sydney, 1980/81
New Zealand,GK Robertson,New Zealand v India at Hamilton, 1980/81
New Zealand,MD Crowe,New Zealand v Australia at Auckland, 1981/82
New Zealand,BR Blair,New Zealand v Australia at Dunedin, 1981/82
New Zealand,JJ Crowe,Australia v New Zealand at Melbourne, 1982/83
New Zealand,PN Webb,Australia v New Zealand at Melbourne, 1982/83
