TEAMNAME,NAME,DEBUTDATE 
Pakistan,Asif Iqbal,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Asif Masood,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Intikhab Alam,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Majid Khan,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Mushtaq Mohammad,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Nasim-ul-Ghani,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Sadiq Mohammad,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Saleem Altaf,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Sarfraz Nawaz,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Wasim Bari,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Wasim Raja,New Zealand v Pakistan at Christchurch, 1972/73
Pakistan,Imran Khan,England v Pakistan at Nottingham, 1974
Pakistan,Zaheer Abbas,England v Pakistan at Nottingham, 1974
Pakistan,Naseer Malik,Australia v Pakistan at Leeds, 1975
Pakistan,Javed Miandad,Pakistan v West Indies at Birmingham, 1975
Pakistan,Pervez Mir,Pakistan v West Indies at Birmingham, 1975
Pakistan,Mohsin Khan,West Indies v Pakistan at Albion, 1976/77
Pakistan,Aamer Hameed,Pakistan v England at Sahiwal, 1977/78
Pakistan,Hasan Jamil,Pakistan v England at Sahiwal, 1977/78
Pakistan,Liaqat Ali,Pakistan v England at Sahiwal, 1977/78
Pakistan,Mudassar Nazar,Pakistan v England at Sahiwal, 1977/78
Pakistan,Shafiq Ahmed,Pakistan v England at Sahiwal, 1977/78
Pakistan,Haroon Rasheed,Pakistan v England at Sialkot, 1977/78
Pakistan,Iqbal Qasim,Pakistan v England at Sialkot, 1977/78
Pakistan,Sikander Bakht,Pakistan v England at Sialkot, 1977/78
Pakistan,Arshad Pervez,Pakistan v England at Lahore, 1977/78
Pakistan,Naeem Ahmed,England v Pakistan at The Oval, 1978
Pakistan,Azmat Rana,Pakistan v India at Sialkot, 1978/79
Pakistan,Mansoor Akhtar,Pakistan v West Indies at Karachi, 1980/81
Pakistan,Mohammad Nazir,Pakistan v West Indies at Karachi, 1980/81
Pakistan,Taslim Arif,Pakistan v West Indies at Karachi, 1980/81
Pakistan,Ashraf Ali,Pakistan v West Indies at Sialkot, 1980/81
Pakistan,Ijaz Faqih,Pakistan v West Indies at Lahore, 1980/81
Pakistan,Rashid Khan,Pakistan v West Indies at Lahore, 1980/81
Pakistan,Saleem Pervez,Pakistan v West Indies at Lahore, 1980/81
Pakistan,Tahir Naqqash,Pakistan v West Indies at Lahore, 1980/81
Pakistan,Rizwan-uz-Zaman,Pakistan v West Indies at Melbourne, 1981/82
Pakistan,Saleem Malik,Pakistan v West Indies at Sydney, 1981/82
Pakistan,Jalal-ud-Din,Pakistan v Sri Lanka at Karachi, 1981/82
Pakistan,Saleem Yousuf,Pakistan v Sri Lanka at Karachi, 1981/82
Pakistan,Tauseef Ahmed,Pakistan v Sri Lanka at Karachi, 1981/82
Pakistan,Shahid Mahboob,Pakistan v India at Lahore, 1982/83
Pakistan,Abdul Qadir,New Zealand v Pakistan at Birmingham, 1983
Pakistan,Azeem Hafeez,India v Pakistan at Hyderabad (Deccan), 1983/84
Pakistan,Qasim Umar,India v Pakistan at Hyderabad (Deccan), 1983/84
Pakistan,Saadat Ali,Pakistan v England at Lahore, 1983/84
Pakistan,Anil Dalpat,Pakistan v England at Karachi, 1983/84
Pakistan,Naved Anjum,Pakistan v England at Karachi, 1983/84
Pakistan,Manzoor Elahi,Pakistan v India at Quetta, 1984/85
Pakistan,Sajid Ali,Pakistan v India at Sialkot, 1984/85
Pakistan,Zakir Khan,Pakistan v New Zealand at Peshawar, 1984/85
