TEAMNAME,NAME,DEBUTDATE 
South Africa,SJ Cook,India v South Africa at Kolkata, 1991/92
South Africa,AA Donald,India v South Africa at Kolkata, 1991/92
South Africa,AC Hudson,India v South Africa at Kolkata, 1991/92
South Africa,PN Kirsten,India v South Africa at Kolkata, 1991/92
South Africa,AP Kuiper,India v South Africa at Kolkata, 1991/92
South Africa,BM McMillan,India v South Africa at Kolkata, 1991/92
South Africa,CEB Rice,India v South Africa at Kolkata, 1991/92
South Africa,DJ Richardson,India v South Africa at Kolkata, 1991/92
South Africa,TG Shaw,India v South Africa at Kolkata, 1991/92
South Africa,RP Snell,India v South Africa at Kolkata, 1991/92
South Africa,KC Wessels,India v South Africa at Kolkata, 1991/92
South Africa,CE Eksteen,India v South Africa at Gwalior, 1991/92
South Africa,CR Matthews,India v South Africa at Gwalior, 1991/92
South Africa,M Yachad,India v South Africa at Gwalior, 1991/92
South Africa,WJ Cronje,Australia v South Africa at Sydney, 1991/92
South Africa,MW Pringle,Australia v South Africa at Sydney, 1991/92
South Africa,JN Rhodes,Australia v South Africa at Sydney, 1991/92
South Africa,T Bosch,New Zealand v South Africa at Auckland, 1991/92
South Africa,O Henry,South Africa v Sri Lanka at Wellington, 1991/92
South Africa,MW Rushmere,South Africa v Sri Lanka at Wellington, 1991/92
South Africa,CJPG van Zyl,West Indies v South Africa at Kingston, 1991/92
South Africa,DJ Callaghan,South Africa v India at Cape Town, 1992/93
South Africa,PS de Villiers,South Africa v India at Cape Town, 1992/93
South Africa,BN Schultz,South Africa v India at Port Elizabeth, 1992/93
South Africa,DJ Cullinan,South Africa v Pakistan at Durban, 1992/93
South Africa,ELR Stewart,South Africa v Pakistan at East London, 1992/93
South Africa,PL Symcox,Sri Lanka v South Africa at Kandy, 1993
South Africa,G Kirsten,Australia v South Africa at Sydney, 1993/94
South Africa,DB Rundle,Australia v South Africa at Brisbane, 1993/94
South Africa,EO Simons,South Africa v Australia at Johannesburg, 1993/94
South Africa,DN Crookes,Pakistan v South Africa at Karachi, 1994/95
South Africa,MJR Rindel,South Africa v New Zealand at Cape Town, 1994/95
South Africa,SD Jack,South Africa v Sri Lanka at Bloemfontein, 1994/95
South Africa,N Boje,Zimbabwe v South Africa at Harare, 1995/96
South Africa,GFJ Liebenberg,Zimbabwe v South Africa at Harare, 1995/96
South Africa,PJR Steyn,Zimbabwe v South Africa at Harare, 1995/96
South Africa,PR Adams,South Africa v England at Cape Town, 1995/96
South Africa,JH Kallis,South Africa v England at Cape Town, 1995/96
South Africa,SM Pollock,South Africa v England at Cape Town, 1995/96
South Africa,L Klusener,South Africa v England at East London, 1995/96
South Africa,SJ Palframan,South Africa v England at Port Elizabeth, 1995/96
South Africa,HH Gibbs,Kenya v South Africa at Nairobi (Gym), 1996/97
South Africa,RE Bryson,South Africa v Zimbabwe at Cape Town, 1996/97
South Africa,AM Bacher,South Africa v India at Port Elizabeth, 1996/97
South Africa,LJ Koen,South Africa v Australia at Port Elizabeth, 1996/97
South Africa,MV Boucher,New Zealand v South Africa at Perth, 1997/98
South Africa,M Ntini,New Zealand v South Africa at Perth, 1997/98
South Africa,S Elworthy,South Africa v Pakistan at Durban, 1997/98
South Africa,R Telemachus,South Africa v Pakistan at Durban, 1997/98
South Africa,M Hayward,England v South Africa at Birmingham, 1998
South Africa,DM Benkenstein,England v South Africa at Dhaka, 1998/99
South Africa,AC Dawson,England v South Africa at Dhaka, 1998/99
South Africa,HS Williams,South Africa v West Indies at East London, 1998/99
South Africa,AJ Hall,South Africa v West Indies at Durban, 1998/99
South Africa,PV Mpitsang,South Africa v West Indies at Bloemfontein, 1998/99
South Africa,HH Dippenaar,India v South Africa at Nairobi (Gym), 1999/00
South Africa,PC Strydom,South Africa v Zimbabwe at Johannesburg, 1999/00
South Africa,DJ Terbrugge,South Africa v England at Bloemfontein, 1999/00
South Africa,ND McKenzie,South Africa v Zimbabwe at Durban, 1999/00
South Africa,CM Willoughby,Pakistan v South Africa at Sharjah, 1999/00
South Africa,N Pothas,Pakistan v South Africa at Singapore, 2000
South Africa,S Abrahams,South Africa v New Zealand at Cape Town, 2000/01
South Africa,JM Kemp,South Africa v Sri Lanka at Bloemfontein, 2000/01
South Africa,JL Ontong,West Indies v South Africa at Kingston, 2000/01
South Africa,A Nel,West Indies v South Africa at Port of Spain, 2000/01
South Africa,CW Henderson,Zimbabwe v South Africa at Bulawayo, 2001/02
South Africa,CK Langeveldt,South Africa v Kenya at Kimberley, 2001/02
South Africa,GC Smith,South Africa v Australia at Bloemfontein, 2001/02
South Africa,JC Kent,South Africa v Australia at Durban, 2001/02
South Africa,RJ Peterson,India v South Africa at Colombo (RPS), 2002/03
South Africa,M van Jaarsveld,South Africa v Bangladesh at Benoni, 2002/03
South Africa,AG Prince,South Africa v Bangladesh at Kimberley, 2002/03
South Africa,M Zondeki,South Africa v Sri Lanka at Bloemfontein, 2002/03
South Africa,JA Rudolph,India v South Africa at Dhaka, 2003
South Africa,MN van Wyk,England v South Africa at Lord's, 2003
South Africa,JA Morkel,New Zealand v South Africa at Wellington, 2003/04
South Africa,JP Duminy,Sri Lanka v South Africa at Colombo (RPS), 2004
South Africa,AB de Villiers,South Africa v England at Bloemfontein, 2004/05
South Africa,AG Puttick,South Africa v New Zealand at Cape Town, 2005/06
South Africa,J Botha,India v South Africa at Hyderabad (Deccan), 2005/06
South Africa,GJP Kruger,Australia v South Africa at Brisbane, 2005/06
South Africa,DW Steyn,Australia v South Africa at Melbourne (Docklands), 2005/06
South Africa,JJ van der Wath,Australia v South Africa at Melbourne (Docklands), 2005/06
South Africa,LE Bosman,South Africa v Zimbabwe at Bloemfontein, 2006/07
South Africa,AN Petersen,South Africa v Zimbabwe at East London, 2006/07
South Africa,VD Philander,Ireland v South Africa at Belfast, 2007
South Africa,MS Tshabalala,Ireland v South Africa at Belfast, 2007
South Africa,GH Bodi,Zimbabwe v South Africa at Bulawayo, 2007
South Africa,M Morkel,Zimbabwe v South Africa at Bulawayo, 2007
South Africa,HM Amla,Bangladesh v South Africa at Chattogram, 2007/08
South Africa,PL Harris,Bangladesh v South Africa at Chattogram, 2007/08
South Africa,J Louw,South Africa v Kenya at Kimberley, 2008/09
South Africa,VB van Jaarsveld,Australia v South Africa at Melbourne, 2008/09
South Africa,WD Parnell,Australia v South Africa at Perth, 2008/09
South Africa,LL Tsotsobe,Australia v South Africa at Perth, 2008/09
South Africa,RE van der Merwe,South Africa v Australia at Centurion, 2008/09
South Africa,R McLaren,South Africa v Zimbabwe at Benoni, 2009/10
South Africa,DA Miller,West Indies v South Africa at North Sound, 2010
South Africa,CA Ingram,South Africa v Zimbabwe at Bloemfontein, 2010/11
South Africa,J Theron,South Africa v Zimbabwe at Bloemfontein, 2010/11
South Africa,F du Plessis,South Africa v India at Cape Town, 2010/11
South Africa,Imran Tahir,South Africa v West Indies at Delhi, 2010/11
South Africa,M de Lange,New Zealand v South Africa at Auckland, 2011/12
South Africa,D Elgar,England v South Africa at Cardiff, 2012
South Africa,Q de Kock,South Africa v New Zealand at Paarl, 2012/13
South Africa,RK Kleinveldt,South Africa v New Zealand at Paarl, 2012/13
South Africa,F Behardien,South Africa v New Zealand at Kimberley, 2012/13
South Africa,AM Phangiso,South Africa v New Zealand at Potchefstroom, 2012/13
South Africa,KJ Abbott,South Africa v Pakistan at Bloemfontein, 2012/13
South Africa,CH Morris,Pakistan v South Africa at Birmingham, 2013
South Africa,H Davids,South Africa v Pakistan at Centurion, 2013/14
South Africa,RR Rossouw,Zimbabwe v South Africa at Bulawayo, 2014
South Africa,M Shezi,Zimbabwe v South Africa at Bulawayo, 2014
South Africa,K Rabada,Bangladesh v South Africa at Dhaka, 2015
South Africa,D Wiese,South Africa v New Zealand at Centurion, 2015
South Africa,T Shamsi,Australia v South Africa at Providence, 2016
South Africa,T Bavuma,South Africa v Ireland at Benoni, 2016/17
South Africa,AL Phehlukwayo,South Africa v Ireland at Benoni, 2016/17
South Africa,D Pretorius,South Africa v Ireland at Benoni, 2016/17
South Africa,KA Maharaj,England v South Africa at Southampton, 2017
South Africa,D Paterson,South Africa v Bangladesh at Kimberley, 2017/18
South Africa,AK Markram,South Africa v Bangladesh at East London, 2017/18
South Africa,PWA Mulder,South Africa v Bangladesh at East London, 2017/18
South Africa,K Zondo,South Africa v India at Centurion, 2017/18
South Africa,H Klaasen,South Africa v India at Cape Town, 2017/18
South Africa,L Ngidi,South Africa v India at Cape Town, 2017/18
South Africa,RR Hendricks,Sri Lanka v South Africa at Pallekele, 2018
South Africa,CJ Dala,Sri Lanka v South Africa at Pallekele, 2018
South Africa,C Jonker,South Africa v Zimbabwe at Kimberley, 2018/19
South Africa,D Olivier,South Africa v Pakistan at Port Elizabeth, 2018/19
South Africa,HE van der Dussen,South Africa v Pakistan at Port Elizabeth, 2018/19
South Africa,BE Hendricks,South Africa v Pakistan at Centurion, 2018/19
South Africa,A Nortje,South Africa v Sri Lanka at Johannesburg, 2018/19
