TEAMNAME,NAME,DEBUTDATE 
Sri Lanka,DS de Silva,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,ER Fernando,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,PD Heyn,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,LWS Kaluperuma,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,LRD Mendis,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,ARM Opatha,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,HSM Pieris,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,AN Ranasinghe,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,APB Tennekoon,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,MH Tissera,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,B Warnapura,Sri Lanka v West Indies at Manchester, 1975
Sri Lanka,SRD Wettimuny,Australia v Sri Lanka at The Oval, 1975
Sri Lanka,GRA de Silva,Pakistan v Sri Lanka at Nottingham, 1975
Sri Lanka,DLS de Silva,New Zealand v Sri Lanka at Nottingham, 1979
Sri Lanka,RL Dias,New Zealand v Sri Lanka at Nottingham, 1979
Sri Lanka,SA Jayasinghe,New Zealand v Sri Lanka at Nottingham, 1979
Sri Lanka,SP Pasqual,New Zealand v Sri Lanka at Nottingham, 1979
Sri Lanka,FRMD Gunatilleke,India v Sri Lanka at Manchester, 1979
Sri Lanka,RS Madugalle,India v Sri Lanka at Manchester, 1979
Sri Lanka,ALF de Mel,Sri Lanka v England at Colombo (SSC), 1981/82
Sri Lanka,RSA Jayasekera,Sri Lanka v England at Colombo (SSC), 1981/82
Sri Lanka,S Wettimuny,Sri Lanka v England at Colombo (SSC), 1981/82
Sri Lanka,HM Goonatilleke,Sri Lanka v England at Colombo (SSC), 1981/82
Sri Lanka,A Ranatunga,Sri Lanka v England at Colombo (SSC), 1981/82
Sri Lanka,JR Ratnayeke,Pakistan v Sri Lanka at Karachi, 1981/82
Sri Lanka,RGCE Wijesuriya,Pakistan v Sri Lanka at Karachi, 1981/82
Sri Lanka,VB John,India v Sri Lanka at Amritsar, 1982/83
Sri Lanka,RJ Ratnayake,India v Sri Lanka at Bengaluru, 1982/83
Sri Lanka,RG de Alwis,New Zealand v Sri Lanka at Dunedin, 1982/83
Sri Lanka,ERNS Fernando,New Zealand v Sri Lanka at Dunedin, 1982/83
Sri Lanka,Y Goonasekera,New Zealand v Sri Lanka at Dunedin, 1982/83
Sri Lanka,MD Wettimuny,New Zealand v Sri Lanka at Dunedin, 1982/83
Sri Lanka,S Jeganathan,New Zealand v Sri Lanka at Auckland, 1982/83
Sri Lanka,GN de Silva,Sri Lanka v Australia at Colombo (SSC), 1982/83
Sri Lanka,DSBP Kuruppu,Sri Lanka v Australia at Colombo (SSC), 1982/83
Sri Lanka,MAR Samarasekera,Pakistan v Sri Lanka at Swansea, 1983
Sri Lanka,PA de Silva,Sri Lanka v New Zealand at Moratuwa, 1983/84
Sri Lanka,SHU Karnain,Sri Lanka v New Zealand at Moratuwa, 1983/84
Sri Lanka,SAR Silva,Sri Lanka v New Zealand at Colombo (PSS), 1984/85
Sri Lanka,DM Vonhagt,Australia v Sri Lanka at Perth, 1984/85
Sri Lanka,FS Ahangama,Pakistan v Sri Lanka at Lahore, 1985/86
Sri Lanka,AP Gurusinha,Pakistan v Sri Lanka at Hyderabad (Sind), 1985/86
Sri Lanka,SD Anurasiri,Sri Lanka v Pakistan at Kandy, 1985/86
Sri Lanka,AM de Silva,Sri Lanka v Pakistan at Kandy, 1985/86
Sri Lanka,RS Mahanama,Sri Lanka v Pakistan at Kandy, 1985/86
Sri Lanka,KG Perera,Sri Lanka v Pakistan at Kandy, 1985/86
Sri Lanka,SK Ranasinghe,Sri Lanka v Pakistan at Kandy, 1985/86
