TEAMNAME,NAME,DEBUTDATE 
West Indies,KD Boyce,England v West Indies at Leeds, 1973
West Indies,MLC Foster,England v West Indies at Leeds, 1973
West Indies,RC Fredericks,England v West Indies at Leeds, 1973
West Indies,LR Gibbs,England v West Indies at Leeds, 1973
West Indies,VA Holder,England v West Indies at Leeds, 1973
West Indies,BD Julien,England v West Indies at Leeds, 1973
West Indies,AI Kallicharran,England v West Indies at Leeds, 1973
West Indies,RB Kanhai,England v West Indies at Leeds, 1973
West Indies,CH Lloyd,England v West Indies at Leeds, 1973
West Indies,DL Murray,England v West Indies at Leeds, 1973
West Indies,GS Sobers,England v West Indies at Leeds, 1973
West Indies,RGA Headley,England v West Indies at The Oval, 1973
West Indies,DA Murray,England v West Indies at The Oval, 1973
West Indies,IVA Richards,Sri Lanka v West Indies at Manchester, 1975
West Indies,AME Roberts,Sri Lanka v West Indies at Manchester, 1975
West Indies,CG Greenidge,Pakistan v West Indies at Birmingham, 1975
West Indies,LG Rowe,Australia v West Indies at Adelaide, 1975/76
West Indies,MA Holding,England v West Indies at Scarborough, 1976
West Indies,CL King,England v West Indies at Scarborough, 1976
West Indies,CEH Croft,West Indies v Pakistan at Albion, 1976/77
West Indies,J Garner,West Indies v Pakistan at Albion, 1976/77
West Indies,RA Austin,West Indies v Australia at St John's, 1977/78
West Indies,SFAF Bacchus,West Indies v Australia at St John's, 1977/78
West Indies,WW Daniel,West Indies v Australia at St John's, 1977/78
West Indies,DL Haynes,West Indies v Australia at St John's, 1977/78
West Indies,IT Shillingford,West Indies v Australia at St John's, 1977/78
West Indies,ST Clarke,West Indies v Australia at Castries, 1977/78
West Indies,HA Gomes,West Indies v Australia at Castries, 1977/78
West Indies,AE Greenidge,West Indies v Australia at Castries, 1977/78
West Indies,DR Parry,West Indies v Australia at Castries, 1977/78
West Indies,N Phillip,West Indies v Australia at Castries, 1977/78
West Indies,S Shivnarine,West Indies v Australia at Castries, 1977/78
West Indies,MD Marshall,England v West Indies at Leeds, 1980
