TEAMNAME,NAME,DEBUTDATE 
Zimbabwe,IP Butchart,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,KM Curran,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,DAG Fletcher,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,JG Heron,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,VR Hogg,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,DL Houghton,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,AH Omarshah,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,GA Paterson,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,AJ Pycroft,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,PWE Rawson,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,AJ Traicos,Australia v Zimbabwe at Nottingham, 1983
Zimbabwe,RD Brown,India v Zimbabwe at Leicester, 1983
Zimbabwe,GE Peckover,West Indies v Zimbabwe at Worcester, 1983
Zimbabwe,EA Brandes,New Zealand v Zimbabwe at Hyderabad (Deccan), 1987/88
Zimbabwe,AC Waller,New Zealand v Zimbabwe at Hyderabad (Deccan), 1987/88
Zimbabwe,MP Jarvis,Australia v Zimbabwe at Chennai, 1987/88
Zimbabwe,KJ Arnott,India v Zimbabwe at Mumbai, 1987/88
Zimbabwe,MA Meman,India v Zimbabwe at Mumbai, 1987/88
Zimbabwe,KG Duers,Sri Lanka v Zimbabwe at New Plymouth, 1991/92
Zimbabwe,A Flower,Sri Lanka v Zimbabwe at New Plymouth, 1991/92
Zimbabwe,WR James,Sri Lanka v Zimbabwe at New Plymouth, 1991/92
Zimbabwe,ADR Campbell,West Indies v Zimbabwe at Brisbane, 1991/92
Zimbabwe,MG Burmester,New Zealand v Zimbabwe at Napier, 1991/92
Zimbabwe,DH Brain,Zimbabwe v India at Harare, 1992/93
Zimbabwe,GJ Crocker,Zimbabwe v India at Harare, 1992/93
Zimbabwe,CN Evans,Zimbabwe v India at Harare, 1992/93
Zimbabwe,GW Flower,Zimbabwe v India at Harare, 1992/93
Zimbabwe,MH Dekker,Zimbabwe v New Zealand at Bulawayo, 1992/93
Zimbabwe,SG Peall,Zimbabwe v New Zealand at Bulawayo, 1992/93
Zimbabwe,EA Essop-Adam,Zimbabwe v New Zealand at Harare, 1992/93
Zimbabwe,U Ranchod,Zimbabwe v New Zealand at Harare, 1992/93
Zimbabwe,GA Briant,Pakistan v Zimbabwe at Sharjah, 1992/93
Zimbabwe,JA Rennie,South Africa v Zimbabwe at Bengaluru, 1993/94
Zimbabwe,HH Streak,South Africa v Zimbabwe at Bengaluru, 1993/94
Zimbabwe,GJ Whittall,Sri Lanka v Zimbabwe at Patna, 1993/94
Zimbabwe,GK Bruk-Jackson,Pakistan v Zimbabwe at Lahore, 1993/94
Zimbabwe,GC Martin,Zimbabwe v Sri Lanka at Harare, 1994/95
Zimbabwe,PA Strang,Australia v Zimbabwe at Perth, 1994/95
Zimbabwe,SV Carlisle,Zimbabwe v Pakistan at Harare, 1994/95
Zimbabwe,BC Strang,Zimbabwe v Pakistan at Harare, 1994/95
Zimbabwe,HK Olonga,Zimbabwe v South Africa at Harare, 1995/96
Zimbabwe,SG Davies,New Zealand v Zimbabwe at Auckland, 1995/96
Zimbabwe,ACI Lock,New Zealand v Zimbabwe at Wellington, 1995/96
Zimbabwe,CB Wishart,Australia v Zimbabwe at Colombo (RPS), 1996
Zimbabwe,AR Whittall,Sri Lanka v Zimbabwe at Colombo (SSC), 1996
Zimbabwe,GB Brent,Pakistan v Zimbabwe at Quetta, 1996/97
Zimbabwe,GJ Rennie,Pakistan v Zimbabwe at Quetta, 1996/97
Zimbabwe,M Mbangwa,Pakistan v Zimbabwe at Lahore, 1996/97
Zimbabwe,EZ Matambanadzo,Pakistan v Zimbabwe at Peshawar, 1996/97
Zimbabwe,DP Viljoen,Sri Lanka v Zimbabwe at Sharjah, 1996/97
Zimbabwe,AG Huckle,Bangladesh v Zimbabwe at Nairobi (Gym), 1997/98
Zimbabwe,MW Goodwin,Sri Lanka v Zimbabwe at Colombo (SSC), 1997/98
Zimbabwe,TN Madondo,Zimbabwe v India at Bulawayo, 1998/99
Zimbabwe,ML Nkala,Zimbabwe v India at Bulawayo, 1998/99
Zimbabwe,NC Johnson,New Zealand v Zimbabwe at Dhaka, 1998/99
Zimbabwe,AM Blignaut,West Indies v Zimbabwe at Singapore, 1999
Zimbabwe,DT Mutendera,Kenya v Zimbabwe at Nairobi (Gym), 1999/00
Zimbabwe,BA Murphy,Pakistan v Zimbabwe at St John's, 2000
Zimbabwe,TJ Friend,Zimbabwe v New Zealand at Bulawayo, 2000/01
Zimbabwe,DA Marillier,Zimbabwe v New Zealand at Bulawayo, 2000/01
Zimbabwe,MA Vermeulen,Sri Lanka v Zimbabwe at Sharjah, 2000/01
Zimbabwe,AJ Mackay,New Zealand v Zimbabwe at Wellington, 2000/01
Zimbabwe,DD Ebrahim,Zimbabwe v Bangladesh at Harare, 2000/01
Zimbabwe,T Taibu,Zimbabwe v West Indies at Harare, 2001
Zimbabwe,H Masakadza,Zimbabwe v South Africa at Bulawayo, 2001/02
Zimbabwe,DT Hondo,Zimbabwe v England at Harare, 2001/02
Zimbabwe,SM Ervine,Zimbabwe v England at Bulawayo, 2001/02
Zimbabwe,TR Gripper,Pakistan v Zimbabwe at Sharjah, 2001/02
Zimbabwe,RW Price,India v Zimbabwe at Colombo (RPS), 2002/03
